HBName,DailyPositive,CumulativePositive,datevar,rna_value,weekday,day,NHS_Borders,NHS_Dumfries_and_Galloway,NHS_Fife,NHS_Forth_Valley,NHS_Grampian,NHS_Greater_Glasgow_and_Clyde,NHS_Highland,NHS_Lanarkshire,NHS_Lothian,NHS_Orkney,NHS_Shetland,NHS_Tayside,NHS_Western_Isles
NHS Fife,267,24069,28-Aug-21,439863.9161,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,242,22223,28-Aug-21,121510.9559,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,277,27490,28-Aug-21,156134.752,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1549,125388,28-Aug-21,124453,7,Sat,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,217,12873,28-Aug-21,431217.1138,7,Sat,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,800,69815,28-Aug-21,699582.2713,7,Sat,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,685,71765,28-Aug-21,290978.658,7,Sat,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,195,28-Aug-21,20943,7,Sat,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,18,463,28-Aug-21,658,7,Sat,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,255,30854,28-Aug-21,234574.9609,7,Sat,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,5,564,28-Aug-21,84718,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,230,29764,29-Aug-21,446010.5697,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,55,5772,29-Aug-21,191987,1,Sun,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,90,8218,29-Aug-21,107047.4651,1,Sun,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,248,24317,29-Aug-21,439863.9161,1,Sun,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,237,22460,29-Aug-21,121510.9559,1,Sun,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,248,27738,29-Aug-21,156134.752,1,Sun,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1331,126719,29-Aug-21,124453,1,Sun,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,216,13089,29-Aug-21,431217.1138,1,Sun,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,813,70628,29-Aug-21,699582.2713,1,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,756,72521,29-Aug-21,290978.658,1,Sun,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,4,199,29-Aug-21,20943,1,Sun,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,10,473,29-Aug-21,658,1,Sun,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,226,31080,29-Aug-21,234574.9609,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,4,568,29-Aug-21,84718,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,408,30172,30-Aug-21,918393.5513,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,92,5864,30-Aug-21,243060.0156,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,130,8348,30-Aug-21,994160,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,420,24737,30-Aug-21,275297.6541,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,364,22824,30-Aug-21,332315.471,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,367,28105,30-Aug-21,549596.8937,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1892,128611,30-Aug-21,866049.4514,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,264,13353,30-Aug-21,431217.1138,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1154,71782,30-Aug-21,968510.1296,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,1138,73659,30-Aug-21,502525.3767,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,200,30-Aug-21,20943,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,13,486,30-Aug-21,658,2,Mon,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,343,31423,30-Aug-21,470165.3268,2,Mon,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,4,572,30-Aug-21,84718,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,415,30587,31-Aug-21,86047.07816,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,91,5955,31-Aug-21,115733.0873,3,Tue,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,146,8494,31-Aug-21,130772,3,Tue,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,425,25162,31-Aug-21,259428.2565,3,Tue,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,407,23231,31-Aug-21,143897.7269,3,Tue,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,476,28581,31-Aug-21,124273.5973,3,Tue,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1908,130519,31-Aug-21,338227.2289,3,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,385,13738,31-Aug-21,250764.6784,3,Tue,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1211,72993,31-Aug-21,160885,3,Tue,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,1135,74794,31-Aug-21,272530.5778,3,Tue,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,6,206,31-Aug-21,20943,3,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,9,495,31-Aug-21,658,3,Tue,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,408,31831,31-Aug-21,132238.8187,3,Tue,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,9,581,31-Aug-21,12876,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,434,31021,01-Sep-21,434962.734,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,94,6049,01-Sep-21,115733.0873,4,Wed,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,114,8608,01-Sep-21,277947.8783,4,Wed,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,491,25653,01-Sep-21,222050.1183,4,Wed,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,400,23631,01-Sep-21,322867.8509,4,Wed,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,460,29041,01-Sep-21,299218.1356,4,Wed,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,2339,132858,01-Sep-21,535886,4,Wed,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,433,14171,01-Sep-21,626809.1354,4,Wed,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1279,74272,01-Sep-21,275439,4,Wed,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,1131,75925,01-Sep-21,290267.7044,4,Wed,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,0,206,01-Sep-21,22317,4,Wed,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,9,504,01-Sep-21,658,4,Wed,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,370,32201,01-Sep-21,635498,4,Wed,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,11,592,01-Sep-21,12876,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,497,31518,02-Sep-21,27457.36667,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,99,6148,02-Sep-21,127205.7604,5,Thu,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,157,8765,02-Sep-21,207239.4238,5,Thu,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,524,26177,02-Sep-21,603381.9347,5,Thu,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,412,24043,02-Sep-21,373303.2646,5,Thu,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,554,29595,02-Sep-21,301714.7911,5,Thu,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,2131,134989,02-Sep-21,591126.1115,5,Thu,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,366,14537,02-Sep-21,604353.6072,5,Thu,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1274,75546,02-Sep-21,275439,5,Thu,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,1168,77093,02-Sep-21,684362,5,Thu,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,3,209,02-Sep-21,22317,5,Thu,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,11,515,02-Sep-21,658,5,Thu,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,415,32616,02-Sep-21,179723,5,Thu,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,11,603,02-Sep-21,12876,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,426,31944,03-Sep-21,610202.8014,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,55,6203,03-Sep-21,293135.4361,6,Fri,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,119,8884,03-Sep-21,207239.4238,6,Fri,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,417,26594,03-Sep-21,603381.9347,6,Fri,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,318,24361,03-Sep-21,100500.5474,6,Fri,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,434,30029,03-Sep-21,564266.5344,6,Fri,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1885,136874,03-Sep-21,753602.8323,6,Fri,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,292,14829,03-Sep-21,604353.6072,6,Fri,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1030,76576,03-Sep-21,778543.2058,6,Fri,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,858,77951,03-Sep-21,311246.2391,6,Fri,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,4,213,03-Sep-21,22317,6,Fri,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,11,526,03-Sep-21,658,6,Fri,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,324,32940,03-Sep-21,470944.519,6,Fri,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,7,610,03-Sep-21,12876,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,327,32271,04-Sep-21,610202.8014,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,53,6256,04-Sep-21,293135.4361,7,Sat,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,102,8986,04-Sep-21,207239.4238,7,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,323,26917,04-Sep-21,603381.9347,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,305,24666,04-Sep-21,100500.5474,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,338,30367,04-Sep-21,564266.5344,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1442,138316,04-Sep-21,753602.8323,7,Sat,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,202,15031,04-Sep-21,604353.6072,7,Sat,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,808,77384,04-Sep-21,778543.2058,7,Sat,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,829,78780,04-Sep-21,311246.2391,7,Sat,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,1,214,04-Sep-21,22317,7,Sat,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,8,534,04-Sep-21,658,7,Sat,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,287,33227,04-Sep-21,470944.519,7,Sat,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,5,615,04-Sep-21,12876,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,342,32613,05-Sep-21,610202.8014,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,63,6319,05-Sep-21,293135.4361,1,Sun,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,75,9061,05-Sep-21,207239.4238,1,Sun,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,346,27263,05-Sep-21,603381.9347,1,Sun,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,292,24958,05-Sep-21,100500.5474,1,Sun,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,302,30669,05-Sep-21,564266.5344,1,Sun,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1407,139723,05-Sep-21,753602.8323,1,Sun,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,215,15246,05-Sep-21,604353.6072,1,Sun,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,841,78225,05-Sep-21,778543.2058,1,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,746,79526,05-Sep-21,311246.2391,1,Sun,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,5,219,05-Sep-21,22317,1,Sun,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,4,538,05-Sep-21,658,1,Sun,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,299,33526,05-Sep-21,470944.519,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,2,617,05-Sep-21,12876,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,468,33081,06-Sep-21,184684.3498,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,109,6428,06-Sep-21,34054,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,164,9225,06-Sep-21,804090,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,561,27824,06-Sep-21,603381.9347,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,409,25367,06-Sep-21,510299.8075,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,565,31234,06-Sep-21,455688.6939,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1899,141622,06-Sep-21,782947.0109,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,335,15581,06-Sep-21,525699.3312,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1086,79311,06-Sep-21,1157812.055,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,1081,80607,06-Sep-21,825273.4354,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,14,233,06-Sep-21,22317,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,14,552,06-Sep-21,20831,2,Mon,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,420,33946,06-Sep-21,527005.4178,2,Mon,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,11,628,06-Sep-21,9564,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,494,33575,07-Sep-21,122064,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,71,6499,07-Sep-21,34054,3,Tue,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,118,9343,07-Sep-21,592359.4756,3,Tue,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,494,28318,07-Sep-21,1877610.114,3,Tue,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,387,25754,07-Sep-21,925352.4395,3,Tue,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,569,31803,07-Sep-21,1491409.497,3,Tue,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1774,143396,07-Sep-21,1950801.186,3,Tue,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,301,15882,07-Sep-21,1269086.961,3,Tue,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,1048,80359,07-Sep-21,3121001.194,3,Tue,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,1059,81666,07-Sep-21,825273.4354,3,Tue,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,12,245,07-Sep-21,22317,3,Tue,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,14,566,07-Sep-21,20831,3,Tue,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,384,34330,07-Sep-21,527005.4178,3,Tue,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,2,630,07-Sep-21,9564,3,Tue,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,463,34038,08-Sep-21,355334.9293,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,70,6569,08-Sep-21,70959.88315,4,Wed,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,99,9442,08-Sep-21,145549,4,Wed,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,448,28766,08-Sep-21,1877610.114,4,Wed,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,350,26104,08-Sep-21,243186.562,4,Wed,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,482,32285,08-Sep-21,243970.6582,4,Wed,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1788,145184,08-Sep-21,581437.21,4,Wed,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,306,16188,08-Sep-21,286148,4,Wed,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,888,81247,08-Sep-21,3121001.194,4,Wed,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,958,82624,08-Sep-21,205952.4916,4,Wed,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,8,253,08-Sep-21,22317,4,Wed,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,12,578,08-Sep-21,658,4,Wed,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,378,34708,08-Sep-21,230088,4,Wed,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,8,638,08-Sep-21,9564,4,Wed,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,445,34483,09-Sep-21,77848.6559,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,79,6648,09-Sep-21,61799.09125,5,Thu,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,101,9543,09-Sep-21,229627.6639,5,Thu,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,403,29169,09-Sep-21,544604.9935,5,Thu,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,302,26406,09-Sep-21,244207,5,Thu,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,464,32749,09-Sep-21,204204.4459,5,Thu,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1538,146722,09-Sep-21,440942.5864,5,Thu,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,227,16415,09-Sep-21,88204.05761,5,Thu,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,760,82007,09-Sep-21,3121001.194,5,Thu,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,869,83493,09-Sep-21,205952.4916,5,Thu,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,7,260,09-Sep-21,73920,5,Thu,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,10,588,09-Sep-21,658,5,Thu,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,353,35061,09-Sep-21,183120,5,Thu,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,3,641,09-Sep-21,9564,5,Thu,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,380,34863,10-Sep-21,366462,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,78,6726,10-Sep-21,99186.52647,6,Fri,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,97,9640,10-Sep-21,288263,6,Fri,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,380,29549,10-Sep-21,544604.9935,6,Fri,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,264,26670,10-Sep-21,251880.9382,6,Fri,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,395,33144,10-Sep-21,339204.9463,6,Fri,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1240,147962,10-Sep-21,752866,6,Fri,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,183,16598,10-Sep-21,166667.4971,6,Fri,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,704,82711,10-Sep-21,768758.327,6,Fri,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,768,84261,10-Sep-21,206613.3421,6,Fri,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,7,267,10-Sep-21,73920,6,Fri,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,9,597,10-Sep-21,658,6,Fri,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,278,35339,10-Sep-21,217302,6,Fri,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,3,644,10-Sep-21,9564,6,Fri,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,256,35119,11-Sep-21,366462,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,46,6772,11-Sep-21,99186.52647,7,Sat,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,65,9705,11-Sep-21,288263,7,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,285,29834,11-Sep-21,544604.9935,7,Sat,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,193,26863,11-Sep-21,251880.9382,7,Sat,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,323,33467,11-Sep-21,339204.9463,7,Sat,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,927,148889,11-Sep-21,752866,7,Sat,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,138,16736,11-Sep-21,166667.4971,7,Sat,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,539,83250,11-Sep-21,768758.327,7,Sat,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,594,84855,11-Sep-21,206613.3421,7,Sat,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,3,270,11-Sep-21,73920,7,Sat,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,1,598,11-Sep-21,658,7,Sat,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,254,35593,11-Sep-21,217302,7,Sat,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,6,650,11-Sep-21,9564,7,Sat,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,274,35393,12-Sep-21,366462,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,57,6829,12-Sep-21,99186.52647,1,Sun,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,63,9768,12-Sep-21,288263,1,Sun,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,277,30111,12-Sep-21,544604.9935,1,Sun,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,200,27063,12-Sep-21,251880.9382,1,Sun,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,287,33754,12-Sep-21,339204.9463,1,Sun,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,817,149706,12-Sep-21,752866,1,Sun,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,130,16866,12-Sep-21,166667.4971,1,Sun,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,491,83741,12-Sep-21,768758.327,1,Sun,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,524,85379,12-Sep-21,206613.3421,1,Sun,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,6,276,12-Sep-21,73920,1,Sun,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Shetland,3,601,12-Sep-21,658,1,Sun,0,0,0,0,0,0,0,0,0,0,1,0,0
NHS Tayside,243,35836,12-Sep-21,217302,1,Sun,0,0,0,0,0,0,0,0,0,0,0,1,0
NHS Western Isles,2,652,12-Sep-21,9564,1,Sun,0,0,0,0,0,0,0,0,0,0,0,0,1
NHS Ayrshire and Arran,424,35817,13-Sep-21,1056288.328,2,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Borders,88,6917,13-Sep-21,61803,2,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS Dumfries and Galloway,93,9861,13-Sep-21,331842.2373,2,Mon,0,1,0,0,0,0,0,0,0,0,0,0,0
NHS Fife,405,30516,13-Sep-21,165178.8287,2,Mon,0,0,1,0,0,0,0,0,0,0,0,0,0
NHS Forth Valley,272,27335,13-Sep-21,251880.9382,2,Mon,0,0,0,1,0,0,0,0,0,0,0,0,0
NHS Grampian,472,34226,13-Sep-21,196116.5226,2,Mon,0,0,0,0,1,0,0,0,0,0,0,0,0
NHS Greater Glasgow and Clyde,1242,150948,13-Sep-21,752866,2,Mon,0,0,0,0,0,1,0,0,0,0,0,0,0
NHS Highland,176,17042,13-Sep-21,260645.3103,2,Mon,0,0,0,0,0,0,1,0,0,0,0,0,0
NHS Lanarkshire,781,84522,13-Sep-21,768758.327,2,Mon,0,0,0,0,0,0,0,1,0,0,0,0,0
NHS Lothian,787,86166,13-Sep-21,409082.0396,2,Mon,0,0,0,0,0,0,0,0,1,0,0,0,0
NHS Orkney,2,278,13-Sep-21,73920,2,Mon,0,0,0,0,0,0,0,0,0,1,0,0,0
